"Literal",Code
"boxtel",http://cedar.example.org/ns#ac-10083
"bozum",http://cedar.example.org/ns#ac-10422
"brakel",http://cedar.example.org/ns#ac-11125
"brandwijk",http://cedar.example.org/ns#ac-10169
"breda",http://cedar.example.org/ns#ac-10154
"brederwiede",http://cedar.example.org/ns#ac-11088
"bredevoort",http://cedar.example.org/ns#ac-11295
"bree",http://cedar.example.org/ns#ac-11352
"breskens",http://cedar.example.org/ns#ac-10233
"breukelen",http://cedar.example.org/ns#ac-10807
"breukelen-nijenrode",http://cedar.example.org/ns#ac-10807
"breukelen-sint pieters",http://cedar.example.org/ns#ac-11149
"breust",http://cedar.example.org/ns#ac-10726
"brielle",http://cedar.example.org/ns#ac-10232
"brigdamme",http://cedar.example.org/ns#ac-10727
"brijdorpe",http://cedar.example.org/ns#ac-10678
"broek",http://cedar.example.org/ns#ac-11214
"broek in waterland",http://cedar.example.org/ns#ac-10289
"broek op langendijk",http://cedar.example.org/ns#ac-10955
"broekhuizen",http://cedar.example.org/ns#ac-10856
"broeksittard",http://cedar.example.org/ns#ac-10655
"bronckhorst",http://cedar.example.org/ns#ac-11159
"brouwershaven",http://cedar.example.org/ns#ac-10030
"bruchem",http://cedar.example.org/ns#ac-11350
"bruinisse",http://cedar.example.org/ns#ac-11291
"brummen",http://cedar.example.org/ns#ac-10798
"brunssum",http://cedar.example.org/ns#ac-10533
"budel",http://cedar.example.org/ns#ac-10219
"buggenum",http://cedar.example.org/ns#ac-10857
"buiksloot",http://cedar.example.org/ns#ac-10961
"buitenpost",http://cedar.example.org/ns#ac-10199
"bunde",http://cedar.example.org/ns#ac-10831
"bunnik",http://cedar.example.org/ns#ac-10820
"bunschoten",http://cedar.example.org/ns#ac-11343
"buren",http://cedar.example.org/ns#ac-11286
"burgh",http://cedar.example.org/ns#ac-11000
"burum",http://cedar.example.org/ns#ac-10039
"bussum",http://cedar.example.org/ns#ac-10281
"buttinge en zandvoort",http://cedar.example.org/ns#ac-11443
"buurmalsen",http://cedar.example.org/ns#ac-10460
"cabauw",http://cedar.example.org/ns#ac-11275
"cadier",http://cedar.example.org/ns#ac-11447
"cadier en keer",http://cedar.example.org/ns#ac-11447
"cadzand",http://cedar.example.org/ns#ac-11002
"callantsoog",http://cedar.example.org/ns#ac-10559
"capelle",http://cedar.example.org/ns#ac-11233
"capelle aan den ijssel",http://cedar.example.org/ns#ac-11248
"capelle en botland",http://cedar.example.org/ns#ac-10207
"castricum",http://cedar.example.org/ns#ac-11287
"catharijne",http://cedar.example.org/ns#ac-11063
"chaam",http://cedar.example.org/ns#ac-11433
"charlois",http://cedar.example.org/ns#ac-10430
"cillaarshoek",http://cedar.example.org/ns#ac-10833
"clinge",http://cedar.example.org/ns#ac-10965
"coevorden",http://cedar.example.org/ns#ac-10383
"colijnsplaat",http://cedar.example.org/ns#ac-10121
"cothen",http://cedar.example.org/ns#ac-11316
"cranendonck",http://cedar.example.org/ns#ac-10219
"cromstrijen",http://cedar.example.org/ns#ac-11346
"cromvoirt",http://cedar.example.org/ns#ac-10053
"cuijk",http://cedar.example.org/ns#ac-10023
"cuijk en sint agatha",http://cedar.example.org/ns#ac-10023
"culemborg",http://cedar.example.org/ns#ac-10342
"dalem",http://cedar.example.org/ns#ac-10301
"dalen",http://cedar.example.org/ns#ac-11004
"dalfsen",http://cedar.example.org/ns#ac-11007
"dantumadeel",http://cedar.example.org/ns#ac-10650
"dantumawoude",http://cedar.example.org/ns#ac-10650
"darthuizen",http://cedar.example.org/ns#ac-11168
"de bilt",http://cedar.example.org/ns#ac-10168
"de knijpe",http://cedar.example.org/ns#ac-11018
"de lier",http://cedar.example.org/ns#ac-10241
"de marne",http://cedar.example.org/ns#ac-10180
"de mijl",http://cedar.example.org/ns#ac-11360
"de rijp",http://cedar.example.org/ns#ac-11417
"de ronde venen",http://cedar.example.org/ns#ac-11379
"de vennip",http://cedar.example.org/ns#ac-10541
"de vuursche",http://cedar.example.org/ns#ac-11441
"de werken en sleeuwijk",http://cedar.example.org/ns#ac-10116
"de wijk",http://cedar.example.org/ns#ac-10753
"de wolden",http://cedar.example.org/ns#ac-10262
"deil",http://cedar.example.org/ns#ac-10057
"delden",http://cedar.example.org/ns#ac-11400
"delfshaven",http://cedar.example.org/ns#ac-10908
"delft",http://cedar.example.org/ns#ac-10928
"delfzijl",http://cedar.example.org/ns#ac-10976
"den bommel",http://cedar.example.org/ns#ac-10293
"den dungen",http://cedar.example.org/ns#ac-10491
"den ham",http://cedar.example.org/ns#ac-10395
"den helder",http://cedar.example.org/ns#ac-10285
"denekamp",http://cedar.example.org/ns#ac-10245
"deurne",http://cedar.example.org/ns#ac-10379
"deurne en liessel",http://cedar.example.org/ns#ac-10379
"deursen en dennenburg",http://cedar.example.org/ns#ac-10209
"deventer",http://cedar.example.org/ns#ac-10899
"didam",http://cedar.example.org/ns#ac-10153
"dieden, demen en langel",http://cedar.example.org/ns#ac-11138
"diemen",http://cedar.example.org/ns#ac-11039
"diepenheim",http://cedar.example.org/ns#ac-10311
"diepenveen",http://cedar.example.org/ns#ac-10933
"dieren",http://cedar.example.org/ns#ac-10084
"diessen",http://cedar.example.org/ns#ac-11185
